train_no,train_name,route_id,train_type,priority,journey_date,day_of_week,month,season,is_festival_day,station_seq,from_station,to_station,distance_from_origin_km,section_distance_km,scheduled_arrival_min_from_origin,scheduled_departure_min_from_origin,halt_min_scheduled,section_permissible_speed_kmph,section_scheduled_avg_speed_kmph,fog_prone_section,congestion_level_static,departure_hour_of_day,weather_condition,visibility_m,temperature_c,is_tsr_event,tsr_effective_speed_kmph,prev_station_arrival_delay_min,rolling_avg_delay_last3_min,arrival_delay_min,actual_running_min,section_avg_speed_kmph,speed_anomaly_flag,recovered_min
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-03,4,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,31.9,False,,0.0,6.4,6.4,156.4,76.7,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-03,4,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,32.3,False,,6.4,9.7,13.0,151.6,79.2,False,6.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-03,4,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,29.5,False,,13.0,10.8,12.9,209.9,85.7,False,11.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-03,4,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,36.5,False,,12.9,16.7,24.1,291.2,82.4,False,12.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-03,4,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,34.6,False,,24.1,25.6,39.7,235.6,72.3,False,12.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-04,5,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,31.4,False,,0.0,14.0,14.0,164.0,73.2,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-04,5,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,25.2,False,,14.0,47.8,81.5,212.5,56.5,False,8.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-04,5,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,29.0,False,,81.5,64.1,96.7,225.2,79.9,False,10.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-04,5,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,31.9,False,,96.7,96.5,111.4,294.7,81.4,False,32.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-04,5,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,28.7,False,,111.4,106.1,110.1,218.7,77.9,False,18.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-05,6,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,31.5,False,,0.0,9.9,9.9,159.9,75.0,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-05,6,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,25.8,False,,9.9,9.7,9.4,144.5,83.0,False,9.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-05,6,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,31.1,False,,9.4,10.2,11.4,212.0,84.9,False,9.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-05,6,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,30.6,False,,11.4,10.1,9.5,278.1,86.3,False,11.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-05,6,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,31.2,False,,9.5,7.7,2.1,212.6,80.2,False,9.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-06,0,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,28.8,False,,0.0,0.9,0.9,150.9,79.5,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-06,0,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,30.3,False,,0.9,9.7,18.5,162.6,73.8,False,0.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-06,0,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,31.1,False,,18.5,9.3,8.5,200.0,90.0,False,18.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-06,0,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,30.7,False,,8.5,14.6,16.8,288.3,83.3,False,8.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-06,0,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,27.7,False,,16.8,22.4,41.8,245.0,69.5,False,16.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-07,1,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,26.1,False,,0.0,3.7,3.7,153.7,78.1,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-07,1,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,27.0,False,,3.7,4.9,6.1,147.4,81.4,False,3.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-07,1,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,30.5,False,,6.1,6.6,10.0,213.9,84.2,False,6.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-07,1,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,27.9,False,,10.0,10.6,15.7,285.7,84.0,False,10.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-07,1,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,28.1,False,,15.7,17.6,27.1,231.4,73.6,False,15.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-08,2,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,27.8,False,,0.0,5.1,5.1,155.1,77.4,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-08,2,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,26.4,False,,5.1,10.1,15.0,154.9,77.5,False,5.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-08,2,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,28.7,False,,15.0,18.0,33.8,228.8,78.7,False,15.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-08,2,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,30.6,False,,33.8,26.8,31.5,277.7,86.4,False,24.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-08,2,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,28.6,False,,31.5,32.9,33.4,221.9,76.8,False,18.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-09,3,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,26.1,True,70,0.0,91.2,91.2,241.2,49.8,True,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-09,3,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,24.0,True,44,91.2,185.9,280.6,334.4,35.9,True,12.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-09,3,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,35.0,False,,280.6,218.0,282.2,211.6,85.1,False,22.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-09,3,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,27.6,False,,282.2,276.4,266.5,264.3,90.8,False,26.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-09,3,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,24.6,False,,266.5,274.3,274.3,227.8,74.8,False,23.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-10,4,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,24.8,False,,0.0,44.3,44.3,194.3,61.8,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-10,4,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,22.5,False,,44.3,43.1,41.9,142.6,84.1,False,9.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-10,4,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,28.5,False,,41.9,40.6,35.7,203.8,88.3,False,24.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-10,4,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,33.5,False,,35.7,31.0,15.5,259.8,92.4,False,23.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-10,4,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,30.4,False,,15.5,25.7,25.9,230.4,73.9,False,15.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-11,5,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,29.7,False,,0.0,30.7,30.7,180.7,66.4,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-11,5,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,30.8,False,,30.7,32.3,33.9,148.2,81.0,False,11.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-11,5,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,27.4,False,,33.9,30.6,27.3,203.4,88.5,False,23.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-11,5,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,31.4,True,42,27.3,133.3,338.7,591.4,40.6,True,26.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-11,5,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,27.2,False,,338.7,236.8,344.3,225.6,75.5,False,13.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-12,6,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,23.3,False,,0.0,18.0,18.0,168.0,71.4,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-12,6,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,29.3,True,49,18.0,90.1,162.2,289.2,41.5,True,7.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-12,6,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,29.1,False,,162.2,116.3,168.8,216.6,83.1,False,20.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-12,6,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,30.5,False,,168.8,164.1,161.4,272.6,88.0,False,32.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-12,6,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,31.8,False,,161.4,156.8,140.3,198.9,85.7,False,21.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-13,0,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,24.7,False,,0.0,16.2,16.2,166.2,72.2,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-13,0,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,25.0,False,,16.2,37.5,58.9,187.7,63.9,False,9.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-13,0,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,27.3,False,,58.9,50.1,75.2,226.3,79.5,False,11.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-13,0,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,31.3,False,,75.2,64.0,57.8,262.6,91.4,False,27.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-13,0,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,31.3,False,,57.8,58.8,43.3,205.5,82.9,False,17.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-14,1,10,other,False,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,24.9,False,,0.0,19.0,19.0,169.0,71.0,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-14,1,10,other,False,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,27.5,False,,19.0,21.1,23.2,149.2,80.4,False,14.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-14,1,10,other,False,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,29.3,False,,23.2,25.5,34.3,221.1,81.4,False,15.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-14,1,10,other,False,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,32.7,False,,34.3,30.8,34.9,280.6,85.5,False,14.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-14,1,10,other,False,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,32.8,False,,34.9,38.1,45.1,230.2,74.0,False,11.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-15,2,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,31.3,False,,0.0,4.8,4.8,154.8,77.5,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-15,2,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,24.1,False,,4.8,13.5,22.1,161.3,74.4,False,5.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-15,2,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,28.2,False,,22.1,12.6,10.9,196.4,91.6,False,20.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-15,2,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,22.7,False,,10.9,18.2,21.5,288.2,83.3,False,13.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-15,2,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,29.1,False,,21.5,19.4,25.8,223.7,76.2,False,21.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-16,3,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,33.8,False,,0.0,35.1,35.1,185.1,64.8,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-16,3,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,33.3,False,,35.1,36.2,37.4,146.3,82.0,False,15.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-16,3,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,30.9,False,,37.4,37.0,38.6,210.4,85.5,False,24.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-16,3,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,27.3,False,,38.6,33.7,25.2,265.4,90.4,False,30.6
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-16,3,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,31.4,False,,25.2,33.0,35.1,227.3,75.0,False,13.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-17,4,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,28.3,False,,0.0,11.0,11.0,161.0,74.5,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-17,4,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,24.3,False,,11.0,23.6,36.1,169.0,71.0,False,12.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-17,4,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,27.4,False,,36.1,25.4,29.1,200.5,89.8,False,18.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-17,4,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,31.2,False,,29.1,29.6,23.7,273.0,87.9,False,17.3
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-17,4,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,29.8,False,,23.7,24.7,21.2,216.7,78.6,False,15.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-18,5,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,35.9,True,62,0.0,108.5,108.5,258.5,46.4,True,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-18,5,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,25.6,False,,108.5,108.2,107.9,143.6,83.6,False,11.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-18,5,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,26.3,False,,107.9,106.8,104.0,204.5,88.0,False,11.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-18,5,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,29.6,False,,104.0,98.8,84.5,258.4,92.9,False,28.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-18,5,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,32.4,False,,84.5,84.4,64.6,198.1,86.0,False,26.2
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-19,6,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,29.8,False,,0.0,20.3,20.3,170.3,70.5,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-19,6,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,27.0,True,55,20.3,79.3,138.3,262.1,45.8,True,9.4
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-19,6,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,24.9,False,,138.3,99.8,140.9,210.3,85.6,False,20.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-19,6,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,28.7,False,,140.9,141.0,143.8,280.1,85.7,False,16.8
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-19,6,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,26.0,False,,143.8,140.9,138.1,213.0,80.0,False,25.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-20,0,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,32.0,False,,0.0,19.0,19.0,169.0,71.0,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-20,0,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,29.2,False,,19.0,66.2,113.3,238.3,50.4,True,14.9
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-20,0,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,30.5,False,,113.3,86.6,127.6,222.6,80.8,False,15.1
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-20,0,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,27.8,False,,127.6,120.3,119.9,270.1,88.9,False,24.5
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-20,0,10,other,True,5,BAU,BCT,1384.0,284,1022,1022,0,100,77.5,False,0.65,5,clear,8000,29.5,False,,119.9,117.4,104.8,203.3,83.8,False,21.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-21,1,10,other,True,1,NDLS,AGC,200.0,200,150,152,2,130,80.0,True,0.55,16,clear,8000,24.3,False,,0.0,4.3,4.3,154.3,77.8,False,0.0
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-21,1,10,other,True,2,AGC,JHS,400.0,200,297,302,5,120,82.8,True,0.45,18,clear,8000,27.0,False,,4.3,19.1,33.9,174.2,68.9,False,4.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-21,1,10,other,True,3,JHS,BPL,700.0,300,512,517,5,110,85.7,False,0.4,21,clear,8000,29.4,False,,33.9,18.9,18.4,192.6,93.5,False,22.7
12951,Mumbai Rajdhani Express,R1,rajdhani_shatabdi_vb,1,2025-10-21,1,10,other,True,4,BPL,BAU,1100.0,400,797,802,5,100,85.7,False,0.5,0,clear,8000,29.4,False,,18.4,23.1,17.1,277.0,86.6,False,20.1
